B;C;D;E;F;G;H;I;J;K;L;M;N
TIME DAYY;DATE;MONTH;YEAR;DAY;DISTRICT;TYPES_OF_CAUSES;ALERT LEVEL;AMOUNT_DAMAGE;TEMPERATURE;TYPE_OF_ESTABLIHMENT;LATITUDE;LONGITUDE
4PM;41597;NOVEMBER;2013;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Vehicle;14.5907;120.981892
9AM;41598;NOVEMBER;2013;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Electrical;14.659539;121.022759
12AM;41599;NOVEMBER;2013;Thursday;Sampaloc;Under Investigation;3rd Alarm;500,000.00;27;Residential;14.614334;120.995621
11AM;41599;NOVEMBER;2013;Thursday;Paco;Electrical connection;1st Alarm;200.00;27;Electrical;14.581533;120.99644
12PM;41599;NOVEMBER;2013;Thursday;Binondo;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.499373;120.992329
7PM;41599;NOVEMBER;2013;Thursday;Santa Cruz;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;5,000.00;27;Commercial;14.600745;120.975845
6AM;41600;NOVEMBER;2013;Friday;Sampaloc;Under Investigation;1st Alarm;5,000.00;27;ReCom;14.61516;14.61516
8PM;41600;NOVEMBER;2013;Friday;Binondo;Open flame;1st Alarm;200.00;27;Residential;14.605337;120.972961
10PM;41600;NOVEMBER;2013;Friday;Tondo;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;100,000.00;27;Residential;14.629821;120.977914
5PM;42330;NOVEMBER;2013;Sunday;Malate;Electrical connection;1st Alarm;200.00;27;Electrical;14.560497;120.992738
10AM;41602;NOVEMBER;2013;Sunday;Tondo;Candle;1st Alarm;200.00;27;Electrical;14.658014;120.984774
7PM;41602;NOVEMBER;2013;Sunday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.575019;121.00011
10PM;41604;NOVEMBER;2013;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Electrical;14.601109;120.999757
6AM;41605;NOVEMBER;2013;Wednesday;Malate;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;28;Residential;14.572123;120.990216
9AM;41605;NOVEMBER;2013;Wednesday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;28;Residential;14.610556;120.998333
2PM;41605;NOVEMBER;2013;Wednesday;Binondo;Under Investigation;5th Alarm;2,000,000.00;28;Commercial;14.601192;120.975007
10PM;41605;NOVEMBER;2013;Wednesday;Quiapo;Candle;1st Alarm;2,000.00;28;Residential;14.599641;120.985378
6PM;41606;NOVEMBER;2013;Thursday;Pandacan;Electrical connection;1st Alarm;200.00;29;Electrical;14.537555;121.065162
4PM;41608;NOVEMBER;2013;Saturday;Paco;Under Investigation;3rd Alarm;500,000.00;26;ReCom;14.573002;120.992701
12PM;41610;DECEMBER;2013;Monday;San Miguel;Electrical connection;1st Alarm;200.00;27;Electrical;14.599512;120.984219
8AM;41613;DECEMBER;2013;Thursday;Ermita;Electrical connection;1st Alarm;8,000.00;27;Vehicle;14.593944;121.028445
6PM;41613;DECEMBER;2013;Thursday;Santa Cruz;Unattended cooking;1st Alarm;5,000.00;27;unclear;14.601494;120.979206
1AM;41614;DECEMBER;2013;Friday;Port Area;Electrical connection;1st Alarm;200.00;26;Electrical;14.59026;120.970125
5PM;41614;DECEMBER;2013;Friday;Sampaloc;Electrical connection;1st Alarm;5,000.00;26;Vehicle;14.60549;120.98833
11AM;41615;DECEMBER;2013;Saturday;Pandacan;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.590645;121.010412
1AM;41617;DECEMBER;2013;Monday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.637392;120.964322
4PM;41617;DECEMBER;2013;Monday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.566708;120.994952
9PM;41617;DECEMBER;2013;Monday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.620565;120.965967
9AM;41618;DECEMBER;2013;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;28;Electrical;14.599512;120.984219
3PM;41618;DECEMBER;2013;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.624571;120.972972
6AM;41619;DECEMBER;2013;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;27;Electrical;14.599512;120.984219
9AM;41619;DECEMBER;2013;Wednesday;Binondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.601321;120.972384
9PM;41619;DECEMBER;2013;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.577215;121.004173
9AM;41620;DECEMBER;2013;Thursday;Santa Mesa;Under Investigation;3rd Alarm;100,000.00;28;Residential;14.597632;121.017609
9PM;41621;DECEMBER;2013;Friday;Sampaloc;Under Investigation;3rd Alarm;300,000.00;28;Residential;14.610868;120.995361
2AM;41622;DECEMBER;2013;Saturday;Ermita;Electrical connection;1st Alarm;200.00;29;Electrical;14.599512;120.984219
11AM;41624;DECEMBER;2013;Monday;San Andres;Electrical connection;1st Alarm;200.00;27;Electrical;14.576313;121.008768
4PM;41624;DECEMBER;2013;Monday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.512332;121.059186
12AM;41625;DECEMBER;2013;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.600819;120.969081
9PM;41626;DECEMBER;2013;Wednesday;Ermita;Electrical connection;1st Alarm;200.00;28;Vehicle;14.586867;120.981307
8AM;41627;DECEMBER;2013;Thursday;Ermita;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;28;Residential;14.599512;120.984219
8PM;41629;DECEMBER;2013;Saturday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;27;Residential;14.599512;120.984219
1PM;41631;DECEMBER;2013;Monday;Sampaloc;Under Investigation;1st Alarm;8,000.00;27;Residential;14.619343;120.996773
12AM;41632;DECEMBER;2013;Tuesday;Malate;Under Investigation;5th Alarm;3,000,000.00;27;Residential;14.599512;120.984219
6PM;41632;DECEMBER;2013;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Electrical;14.604387;121.001361
6PM;41632;DECEMBER;2013;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.608792;120.981252
7PM;41632;DECEMBER;2013;Tuesday;Tondo;Electrical connection;2nd Alarm;1,000.00;27;;14.620565;120.965967
11AM;41634;DECEMBER;2013;Thursday;Santa Mesa;Electrical connection;1st Alarm;200.00;28;Electrical;14.599319;121.011364
2PM;41636;DECEMBER;2013;Saturday;Santa Ana;Under Investigation;3rd Alarm;200,000.00;26;Residential;14.472234;121.027931
10PM;41636;DECEMBER;2013;Saturday;Binondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;26;Residential;14.490449;121.058785
11AM;41637;DECEMBER;2013;Sunday;Sampaloc;Under Investigation;1st Alarm;5,000.00;26;Residential;14.61601;120.995993
11AM;41638;DECEMBER;2013;Monday;Santa Cruz;Under Investigation;1st Alarm;9,000.00;27;unclear;14.606576;120.981067
7PM;41638;DECEMBER;2013;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Electrical;14.604546;121.002686
8PM;41639;DECEMBER;2013;Tuesday;Pandacan;Under Investigation;2nd Alarm;100,000.00;27;Residential;14.588273;121.006615
10PM;41639;DECEMBER;2013;Tuesday;Pandacan;Electrical connection;1st Alarm;200.00;27;Electrical;14.590645;121.010412
10PM;41639;DECEMBER;2013;Tuesday;Tondo;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.621111;120.976494
12AM;41640;JANUARY;2014;Wednesday;Binondo;Under Investigation;3rd Alarm;500,000.00;27;Commercial;14.605849;120.972799
1AM;41640;JANUARY;2014;Wednesday;Binondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.600097;120.96902
4AM;41640;JANUARY;2014;Wednesday;Tondo;Firecracker;1st Alarm;200.00;27;Rubbish;14.609043;120.963143
6PM;41641;JANUARY;2014;Thursday;Tondo;Firecracker;1st Alarm;200.00;27;Rubbish;14.620565;120.965967
9PM;41641;JANUARY;2014;Thursday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.60339;120.965772
10AM;41642;JANUARY;2014;Friday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.628823;120.974506
4PM;41642;JANUARY;2014;Friday;Binondo;Cigarette Butt;1st Alarm;200.00;26;Rubbish;14.619081;120.973692
8AM;41643;JANUARY;2014;Saturday;Binondo;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.601321;120.972384
3PM;41643;JANUARY;2014;Saturday;Santa Ana;Electrical connection;1st Alarm;200.00;27;Electrical;14.575408;121.010935
2AM;41646;JANUARY;2014;Tuesday;Paco;Under Investigation;2nd Alarm;300,000.00;26;ReCom;14.580259;120.995086
1PM;41646;JANUARY;2014;Tuesday;Tondo;Cigarette Butt;1st Alarm;200.00;26;Rubbish;14.622455;120.970931
3PM;41647;JANUARY;2014;Wednesday;Quiapo;Cigarette Butt;1st Alarm;200.00;26;Rubbish;14.600297;120.987663
7PM;41647;JANUARY;2014;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;26;Electrical;14.616232;120.984688
10AM;41649;JANUARY;2014;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.609849;121.008259
12PM;41649;JANUARY;2014;Friday;Binondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;25;Residential;14.605337;120.972961
2PM;41649;JANUARY;2014;Friday;Ermita;Electrical connection;1st Alarm;200.00;25;Residential;14.580753;121.00589
12AM;41650;JANUARY;2014;Saturday;Sampaloc;Cigarette Butt;1st Alarm;200.00;25;Grass fire;14.597386;121.016199
9AM;41650;JANUARY;2014;Saturday;Santa Cruz;Matchstick and Lighter;2nd Alarm;50,000.00;25;ReCom;14.619948;120.982774
10AM;41650;JANUARY;2014;Saturday;Pandacan;Electrical connection;1st Alarm;200.00;25;Electrical;14.585173;121.000689
10AM;41652;JANUARY;2014;Monday;Santa Ana;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.472234;121.027931
3PM;41652;JANUARY;2014;Monday;San Nicolas;Open flame;1st Alarm;200.00;27;;14.598201;120.968989
12AM;41653;JANUARY;2014;Tuesday;Sampaloc;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.619129;120.964463
9AM;41653;JANUARY;2014;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Vehicle;14.609289;120.996902
8PM;41653;JANUARY;2014;Tuesday;Santa Cruz;Electrical connection;1st Alarm;200.00;27;Electrical;14.613188;120.981524
3AM;41654;JANUARY;2014;Wednesday;Santa Ana;Under Investigation;3rd Alarm;100,000.00;26;Residential;14.573713;121.000996
9AM;41654;JANUARY;2014;Wednesday;Santa Ana;Electrical connection;1st Alarm;200.00;26;Electrical;14.573891;121.003776
2PM;41654;JANUARY;2014;Wednesday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;26;Residential;14.610556;120.998333
5PM;41654;JANUARY;2014;Wednesday;Santa Ana;Electrical connection;1st Alarm;200.00;26;Electrical;14.567849;120.996302
3PM;41655;JANUARY;2014;Thursday;Tondo;Under Investigation;2nd Alarm;150,000.00;26;Residential;14.620565;120.965967
3AM;41657;JANUARY;2014;Saturday;Sampaloc;Cigarette Butt;1st Alarm;200.00;25;Grass fire;14.597176;121.015994
10AM;41657;JANUARY;2014;Saturday;Port Area;Under Investigation;2nd Alarm;50,000.00;25;Residential;14.588726;120.968597
6PM;41657;JANUARY;2014;Saturday;Quiapo;Electrical connection;1st Alarm;0;25;Vehicle;14.595728;120.977297
6PM;41658;JANUARY;2014;Sunday;Sampaloc;Firecracker;1st Alarm;200.00;25;Residential;14.607598;120.996752
7AM;41659;JANUARY;2014;Monday;Santa Cruz;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;24;Commercial;14.621363;120.98839
3PM;41659;JANUARY;2014;Monday;Binondo;Under Investigation;1st Alarm;8,000.00;24;;14.597542;120.978308
7AM;41661;JANUARY;2014;Wednesday;Santa Ana;Under Investigation;1st Alarm;5,000.00;26;Vehicle;14.472234;121.027931
8PM;41661;JANUARY;2014;Wednesday;San Miguel;Electrical connection;1st Alarm;200.00;26;Electrical;14.598646;120.993634
8PM;41661;JANUARY;2014;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;26;Electrical;14.627713;120.981486
11PM;41661;JANUARY;2014;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.635378;120.975255
1PM;41663;JANUARY;2014;Friday;Malate;Under Investigation;5th Alarm;2,000.000.00;24;Residential;14.570322;120.995169
6PM;41663;JANUARY;2014;Friday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;24;Residential;14.621977;120.979287
7PM;41663;JANUARY;2014;Friday;Tondo;Electrical connection;1st Alarm;200.00;24;Residential;14.60655;120.972382
10PM;41663;JANUARY;2014;Friday;Tondo;Cigarette Butt;1st Alarm;200.00;24;Rubbish;14.599512;120.984219
11AM;41664;JANUARY;2014;Saturday;Ermita;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;22;;14.589617;120.997455
7PM;41664;JANUARY;2014;Saturday;Santa Ana;Open flame;1st Alarm;200.00;22;;;
6AM;41665;JANUARY;2014;Sunday;Santa Cruz;Cigarette Butt;1st Alarm;200.00;24;Grass fire;14.627832;120.989138
2PM;41665;JANUARY;2014;Sunday;Santa Cruz;Electrical connection;1st Alarm;200.00;24;Electrical;14.630601;120.981429
10AM;41666;JANUARY;2014;Monday;Tondo;Arson;1st Alarm;10,000.00;27;Residential;14.620565;120.965967
7AM;41667;JANUARY;2014;Tuesday;Pandacan;Under Investigation;3rd Alarm;500,000.00;25;Residential;14.590364;121.008691
9AM;41667;JANUARY;2014;Tuesday;Tondo;Open flame;1st Alarm;200.00;25;;14.635378;120.975255
2PM;41667;JANUARY;2014;Tuesday;Tondo;Matchstick and Lighter;1st Alarm;200.00;25;Grass fire;14.625399;120.962921
8PM;41667;JANUARY;2014;Tuesday;Sampaloc;Under Investigation;5th Alarm;500,000.00;25;Residential;14.614334;120.995621
11AM;41668;JANUARY;2014;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.612519;120.993646
4PM;41668;JANUARY;2014;Wednesday;Santa Ana;Cigarette Butt;1st Alarm;200.00;25;Residential;14.472234;121.027931
11PM;41669;JANUARY;2014;Thursday;Sampaloc;Cigarette Butt;1st Alarm;200.00;25;Rubbish;14.622622;120.983644
4PM;41670;JANUARY;2014;Friday;Tondo;Cigarette Butt;1st Alarm;200.00;25;Rubbish;14.620565;120.965967
5PM;41670;JANUARY;2014;Friday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.617682;120.960108
8PM;41670;JANUARY;2014;Friday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.574231;121.00282
8PM;41672;FEBRUARY;2014;Sunday;Pandacan;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;5,000.00;29;Residential;14.580842;121.004756
2AM;41672;FEBRUARY;2014;Sunday;Sampaloc;Cigarette Butt;1st Alarm;200.00;29;Grass fire;14.597632;121.017609
1PM;41673;FEBRUARY;2014;Monday;Tondo;Under Investigation;3rd Alarm;500, 000.00;28;Residential;14.617232;120.967521
7PM;41673;FEBRUARY;2014;Monday;Santa Ana;Electrical connection;1st Alarm;200.00;28;Electrical;14.472234;121.027931
4AM;41674;FEBRUARY;2014;Tuesday;Sampaloc;Candle;1st Alarm;200.00;28;Residential;14.597386;121.016199
2PM;41674;FEBRUARY;2014;Tuesday;Quiapo;Under Investigation;2nd Alarm;50,000.00;28;Commercial;14.599176;120.983618
6PM;41674;FEBRUARY;2014;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Electrical;14.612762;120.996106
7PM;41675;FEBRUARY;2014;Wednesday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;27;Residential;14.59847;121.00056
2PM;41676;FEBRUARY;2014;Thursday;Malate;Under Investigation;3rd Alarm;300,000.00;30;Residential;14.572149;120.99717
6PM;41676;FEBRUARY;2014;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.605278;120.997553
7PM;41676;FEBRUARY;2014;Thursday;Tondo;Electrical connection;1st Alarm;200.00;30;Vehicle;14.635378;120.975255
3PM;41677;FEBRUARY;2014;Friday;Tondo;Cigarette Butt;1st Alarm;200.00;28;Residential;14.621977;120.979287
3PM;41677;FEBRUARY;2014;Friday;Binondo;Open flame;1st Alarm;200.00;28;Commercial;14.632797;120.972134
11AM;41678;FEBRUARY;2014;Saturday;Sampaloc;Matchstick and Lighter;1st Alarm;200.00;23;Residential;14.606015;120.989127
2PM;41679;FEBRUARY;2014;Sunday;Santa Cruz;Electrical connection;1st Alarm;1,000.00;28;Residential;14.610991;120.982542
5AM;41680;FEBRUARY;2014;Monday;Sampaloc;Under Investigation;5th Alarm;3, 000.000.00;28;Residential;14.619264;120.993871
9AM;41680;FEBRUARY;2014;Monday;Santa Cruz;Under Investigation;3rd Alarm;500,000.00;28;Residential;14.618536;120.984767
10AM;41682;FEBRUARY;2014;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.575786;121.009949
4PM;41682;FEBRUARY;2014;Wednesday;Sampaloc;Under Investigation;5th Alarm;3,000.000.00;25;ReCom;14.607959;120.991066
10AM;41683;FEBRUARY;2014;Thursday;Intramuros;Open flame;1st Alarm;1,000.00;26;unclear;14.591501;120.974182
1PM;41683;FEBRUARY;2014;Thursday;Ermita;Cigarette Butt;1st Alarm;500,00.;26;Commercial;14.58323;120.980533
3PM;41683;FEBRUARY;2014;Thursday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;26;Residential;14.602908;120.99083
7PM;41683;FEBRUARY;2014;Thursday;Sampaloc;Open flame;1st Alarm;1,000.00;26;ReCom;14.615833;120.992886
9PM;41683;FEBRUARY;2014;Thursday;Santa Ana;Candle;1st Alarm;200.00;26;Residential;14.472234;121.027931
4PM;41684;FEBRUARY;2014;Friday;Intramuros;Electrical connection;1st Alarm;200.00;26;Residential;14.590351;120.980583
5PM;41684;FEBRUARY;2014;Friday;Ermita;Electrical connection;1st Alarm;200.00;26;Electrical;14.576489;120.988073
5PM;41685;FEBRUARY;2014;Saturday;Tondo;Candle;1st Alarm;200.00;26;Residential;14.6237;120.970834
9AM;41686;FEBRUARY;2014;Sunday;Ermita;Under Investigation;5th Alarm;3, 000.000.00;26;Commercial;14.576578;120.981721
2AM;41688;FEBRUARY;2014;Tuesday;Santa Ana;Under Investigation;5th Alarm;3,000.000.00;27;Residential;14.472234;121.027931
9AM;41688;FEBRUARY;2014;Tuesday;Santa Cruz;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.612684;120.98094
7PM;41688;FEBRUARY;2014;Tuesday;Santa Ana;Electrical connection;1st Alarm;200.00;27;Electrical;14.472234;121.027931
1AM;41689;FEBRUARY;2014;Wednesday;Tondo;Cigarette Butt;1st Alarm;200.00;25;Rubbish;14.623312;120.961557
2PM;41689;FEBRUARY;2014;Wednesday;Sampaloc;Cigarette Butt;1st Alarm;200.00;25;Rubbish;14.608073;121.002098
9PM;41689;FEBRUARY;2014;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;25;Residential;14.620565;120.965967
10PM;41691;FEBRUARY;2014;Friday;Paco;Cigarette Butt;1st Alarm;200.00;26;Rubbish;14.58197;120.989981
11AM;41692;FEBRUARY;2014;Saturday;Pandacan;Arson;1st Alarm;500.00;26;Residential;14.590645;121.010412
4AM;41694;FEBRUARY;2014;Monday;Sampaloc;Cigarette Butt;1st Alarm;200.00;28;Rubbish;14.567839;120.997706
8AM;41694;FEBRUARY;2014;Monday;Malate;Electrical connection;1st Alarm;200.00;28;Residential;14.573617;120.995876
9AM;41694;FEBRUARY;2014;Monday;Malate;Electrical connection;1st Alarm;200.00;28;Residential;14.577655;120.985694
9PM;41695;FEBRUARY;2014;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;26;Vehicle;14.582518;120.984921
8AM;41696;FEBRUARY;2014;Wednesday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;26;Residential;14.612198;120.996818
8AM;41696;FEBRUARY;2014;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.616111;120.956667
1AM;41697;FEBRUARY;2014;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.610556;120.998333
6AM;41697;FEBRUARY;2014;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.600486;121.001696
9AM;41698;FEBRUARY;2014;Friday;Sampaloc;Under Investigation;2nd Alarm;200,000.00;27;ReCom;14.606214;120.988875
10PM;41698;FEBRUARY;2014;Friday;Paco;Electrical connection;1st Alarm;5,000.00;27;Residential;14.581532;120.996322
8AM;41700;MARCH;2014;Sunday;Sampaloc;Cigarette Butt;1st Alarm;1,000.00;27;Residential;14.605278;120.997553
4PM;41700;MARCH;2014;Sunday;Tondo;Cigarette Butt;1st Alarm;200.00;27;Residential;14.668457;120.973919
8PM;41700;MARCH;2014;Sunday;Malate;Under Investigation;3rd Alarm;300, 000.00;27;ReCom;14.56815;120.992684
10AM;41701;MARCH;2014;Monday;Sampaloc;Cigarette Butt;1st Alarm;200.00;29;Rubbish;14.620565;120.965967
12PM;41701;MARCH;2014;Monday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;29;Residential;14.60311;120.996293
12PM;41701;MARCH;2014;Monday;Tondo;Electrical connection;1st Alarm;200.00;29;Electrical;14.675621;120.950296
11AM;41702;MARCH;2014;Tuesday;Sampaloc;Other;1st Alarm;9,000.00;28;Commercial;14.611429;120.990574
11PM;41702;MARCH;2014;Tuesday;Binondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.597746;120.967455
4PM;41703;MARCH;2014;Wednesday;Tondo;Under Investigation;2nd Alarm;100,000.00;27;Residential;14.629806;120.977889
7PM;41703;MARCH;2014;Wednesday;Ermita;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.473919;121.031851
7PM;41703;MARCH;2014;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Residential;14.604084;121.01714
9PM;41703;MARCH;2014;Wednesday;Santa Mesa;Electrical connection;1st Alarm;200.00;27;Electrical;14.589567;121.01886
6PM;41704;MARCH;2014;Thursday;Pandacan;Electrical connection;1st Alarm;200.00;28;Electrical;14.586804;121.000168
9AM;41705;MARCH;2014;Friday;Tondo;Cigarette Butt;1st Alarm;200.00;26;Residential;14.634842;120.963131
2PM;41705;MARCH;2014;Friday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.468587;121.025244
7PM;41705;MARCH;2014;Friday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.62797;120.983588
4PM;41706;MARCH;2014;Saturday;Santa Cruz;Electrical connection;1st Alarm;200.00;26;Electrical;14.612018;120.995303
2PM;41707;MARCH;2014;Sunday;Pandacan;Electrical connection;1st Alarm;200.00;27;Electrical;14.585173;121.000689
7PM;41707;MARCH;2014;Sunday;Pandacan;Electrical connection;1st Alarm;200.00;27;Electrical;14.504102;121.057182
4AM;41709;MARCH;2014;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Electrical;14.599319;121.011364
11PM;41709;MARCH;2014;Tuesday;Quiapo;Electrical connection;1st Alarm;200.00;28;Electrical;14.599512;120.984219
2PM;41710;MARCH;2014;Wednesday;Tondo;Cigarette Butt;1st Alarm;200.00;29;Rubbish;;
